,CSC11,CSC13,CSC5,CSC7,Noncertified1,Noncertified10,Noncertified15,Noncertified2,Noncertified4,Noncertified6,Noncertified8,PSC12,PSC14,PSC3,TCSC9
H-6,83.90954989056357,90.2777218485718,80.16208224434044,92.68130895137631,25.31557546959896,18.16658972822098,48.24358583843195,56.96186050394564,42.46821852539779,36.8315329948419,64.277574104722,42.92940575544758,51.89763481429992,45.85814448227549,59.95743747666417
H-7,86.79970712486794,93.29830117733468,83.05223947864482,92.65273889375588,25.72495010859631,13.93675459239556,51.26416516719483,53.47726606222525,42.87759316439514,39.85211232360476,64.24900404710158,42.90083569782714,55.72109029593476,46.26751912127282,62.84760961026773
H-8,89.8137672930796,99.5194194710133,86.06629964685646,92.87483048353027,28.73901840369798,12.01366388167259,58.41337913081438,51.91367430758688,45.89166145949678,46.53379792414476,61.06904243135187,43.12293541449156,59.1178745451673,49.71032023372203,65.86166977847938
H-9,93.61881940812704,100.8813904506822,89.87135176190392,91.47923931262746,32.54406239185543,10.61808083765977,58.84725444054239,49.74205995625147,49.69670544765422,50.33884191230221,59.67345126044906,41.72735237047876,62.92292666021474,51.86070847730483,69.66672189352683
I-10,101.2908003535847,102.1930988240751,97.54333270736154,92.79096393980036,40.21604333731308,11.92978921105267,60.15896281393528,48.26536282064114,57.3686863931119,55.24435483993384,60.98517588762196,43.03906074387164,69.28249557610789,49.39591605384298,77.33870283898443
I-11,99.98722169985804,99.79192065831094,96.23975405363493,89.09892721899296,44.11885183335168,10.17754770319823,57.75778464817109,43.72238318032856,61.2714948891505,53.93716588742037,57.29313916681457,39.34704027684425,67.97530662359443,52.11283650165655,76.03510928595867
I-12,101.5206076713855,100.3283543242059,97.7731400251624,88.98374955676293,45.65223374143415,10.81036056855529,58.29421831406606,38.44740826209222,62.80487679723298,55.47054779550285,57.17796150458454,39.23186261461423,69.50868853167691,54.19816180000583,77.56849119404116
I-13,103.8043331907921,101.9446464931496,100.056865544569,87.5870216226736,47.93598511912686,13.3780874441086,59.91051048300979,35.96590337569129,65.08862817492569,57.75427331490948,55.78123357049521,40.09646953754892,71.79241405108354,51.03896447560462,79.85221671344777
I-14,108.0276357119279,106.1679490142854,104.2801680657048,78.8201764242894,52.15926178197655,18.85907093307311,64.13381300414555,34.02523032900001,69.31190483777537,61.97757583604525,52.33215795702023,42.24302001175124,76.01571657221928,59.19313137221455,84.07551923458352
I-15,109.0192106313832,107.159584968897,105.2717429851601,73.1827144280259,53.15083670143186,19.85064585252842,65.12544895875712,28.08482212147539,70.30347975723069,62.96915075550055,49.0671652388603,39.17684268467606,77.00729149167458,61.04627404677981,85.06709415403883
I-16,109.9229372338542,108.0633115713679,106.175469587631,68.93056150832649,54.05456330390282,20.75437245499938,66.02917556122807,24.96114819747298,71.20720635970164,63.87287735797152,46.57400497627467,38.11865767243535,77.91101809414556,63.3685049915745,85.9708207565098
I-17,114.041037376911,112.1814117144248,110.2935697306879,68.82094512387765,58.17268930524579,24.87247259805626,70.14727570428495,25.26052482423876,75.32533236104462,67.9909775010284,46.46438859182582,38.00904128798651,82.02911823720243,63.88250891082647,90.08892089956667
I-18,123.0933920531322,121.2337663906459,119.3459244069091,76.4016037787785,67.22504398146688,33.92482727427736,79.19963038050605,34.31291053040315,84.3776870372657,77.04333217724952,54.04504724672663,45.5896999428873,91.08147291342357,72.93486358704757,99.1412755757878
I-19,121.8279294835699,119.9683038210836,118.0804618373468,65.17297588820422,65.95958141190462,32.6593647047151,77.93416781094379,18.9166939851494,83.11222446770343,75.77788711175843,42.81641935615239,42.99812750673203,89.81601034386131,66.11047479275379,97.87581300622554
I-2,81.0048368427513,81.46614387983655,77.25736919652817,93.2348552622474,27.67261914232078,27.26356812196214,44.48623199914393,68.12880009987073,44.8252621981196,27.72367406156849,64.83112041559309,43.48295206631867,48.99292989337765,55.34390378743033,57.0527325557419
I-3,72.6352641187404,82.39504161583032,68.88780459940727,98.84402378055647,25.5464523570921,33.64752452312135,53.10117069909309,74.51265409261596,41.35947876482509,28.76667115997582,70.44028893390217,49.09209620395769,40.62337139142427,52.92945537020432,48.68316660414019
I-4,77.40961264601371,83.7776456984841,73.6621531266806,87.41664447634757,26.46579237629755,20.895775807181,41.74352106599041,62.35639103718962,43.61843543209638,30.10259751705123,59.01290962969325,37.66474128041884,45.39771382353008,47.56203317116537,53.45751513141352
I-5,81.36776394437709,88.26356955724894,77.62029629815396,89.02658820754077,27.8744882598843,18.87328434356982,46.22943354710909,58.84076077872426,45.02713131568312,34.58848257878557,60.62285336088647,39.27468501161204,49.35585699500344,48.96752543407922,57.41565965736768
I-6,85.15288266357848,92.5490157048707,81.40541501735535,89.04537576075846,31.13888459737022,16.8632207184289,49.71696686669394,56.88054955131204,48.29152765316904,39.1028268511408,57.23958770858007,39.29348069171975,53.14096758731483,52.11018642739428,61.20077024967907
I-7,90.52955702142434,97.92569818960656,86.78208937520122,94.42201687223663,37.47575886097449,14.74125037497299,55.09360797817209,54.97932501576831,54.62840191677331,44.47950933587664,62.61622882005822,44.67012180319789,58.51765007205071,58.44706069099856,66.57745273441496
