,CSC12,CSC14,CSC6,CSC8,Noncertified1,Noncertified11,Noncertified2,Noncertified5,Noncertified7,Noncertified9,PSC13,PSC15,PSC4,TCSC10
H-9,41.72735237047876,62.92292666021474,50.33884191230221,59.67345126044906,32.54406239185543,93.61881940812704,49.74205995625147,89.87135176190392,91.47923931262746,69.66672189352683,100.8813904506822,58.84725444054239,49.69670544765422,10.61808083765977
I-10,43.03906074387164,69.28249557610789,55.24435483993384,60.98517588762196,40.21604333731308,101.2908003535847,48.26536282064114,97.54333270736154,92.79096393980036,77.33870283898443,102.1930988240751,60.15896281393528,57.3686863931119,11.92978921105267
I-11,39.34704027684425,67.97530662359443,53.93716588742037,57.29313916681457,44.11885183335168,99.98722169985804,43.72238318032856,96.23975405363493,89.09892721899296,76.03510928595867,99.79192065831094,57.75778464817109,61.2714948891505,10.17754770319823
I-12,39.23186261461423,69.50868853167691,55.47054779550285,57.17796150458454,45.65223374143415,101.5206076713855,38.44740826209222,97.7731400251624,88.98374955676293,77.56849119404116,100.3283543242059,58.29421831406606,62.80487679723298,10.81036056855529
I-13,40.09646953754892,71.79241405108354,57.75427331490948,55.78123357049521,47.93598511912686,103.8043331907921,35.96590337569129,100.056865544569,87.5870216226736,79.85221671344777,101.9446464931496,59.91051048300979,65.08862817492569,13.3780874441086
I-14,42.24302001175124,76.01571657221928,61.97757583604525,52.33215795702023,52.15926178197655,108.0276357119279,34.02523032900001,104.2801680657048,78.8201764242894,84.07551923458352,106.1679490142854,64.13381300414555,69.31190483777537,18.85907093307311
I-15,39.17684268467606,77.00729149167458,62.96915075550055,49.0671652388603,53.15083670143186,109.0192106313832,28.08482212147539,105.2717429851601,73.1827144280259,85.06709415403883,107.159584968897,65.12544895875712,70.30347975723069,19.85064585252842
I-16,38.11865767243535,77.91101809414556,63.87287735797152,46.57400497627467,54.05456330390282,109.9229372338542,24.96114819747298,106.175469587631,68.93056150832649,85.9708207565098,108.0633115713679,66.02917556122807,71.20720635970164,20.75437245499938
I-17,38.00904128798651,82.02911823720243,67.9909775010284,46.46438859182582,58.17268930524579,114.041037376911,25.26052482423876,110.2935697306879,68.82094512387765,90.08892089956667,112.1814117144248,70.14727570428495,75.32533236104462,24.87247259805626
I-18,45.5896999428873,91.08147291342357,77.04333217724952,54.04504724672663,67.22504398146688,123.0933920531322,34.31291053040315,119.3459244069091,76.4016037787785,99.1412755757878,121.2337663906459,79.19963038050605,84.3776870372657,33.92482727427736
